MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;-0.08;0;-5;0;90;0;8.54
X;Position;-30;-0.08;0;-5;0;90;0;11.93
X;Position;-10;0.18;-1.94;-5;323.24;90;0;22.32
X;Position;10;0.18;-1.94;-5;323.24;90;0;22.62
X;Position;30;0.18;-1.94;-5;323.24;90;0;23.11
X;Position;50;0.18;-1.94;-5;323.24;90;0;23.33
Y;Position;-30;0.18;-1.94;-5;323.24;90;0;33.49
Y;Position;-20;0.18;-1.94;-5;323.24;90;0;33.98
Y;Position;-10;0.18;-1.94;-5;323.24;90;0;34.26
Y;Position;10;0.18;-1.94;-5;323.24;90;0;34.51
Y;Position;20;0.18;-1.94;-5;323.24;90;0;34.76
Y;Position;30;0.18;-1.94;-5;323.24;90;0;35
Z;Position;10;-20.5;-1.94;1.9;323.24;90;0;68.12
Z;Position;30;-20.5;-1.94;1.9;323.24;90;0;68.47
Z;Position;50;-20.5;-1.94;1.9;323.24;90;0;68.8
X;Rotation;-90;-20.5;-1.94;1.9;323.24;90;0;69.86
X;Rotation;0;-20.5;-1.94;1.9;323.24;90;0;70.3
X;Rotation;90;-20.5;-1.94;1.9;323.24;90;0;70.68
Y;Rotation;-30;-20.5;-1.94;1.9;323.24;90;0;71.55
Y;Rotation;0;-20.5;-1.94;1.9;323.24;90;0;71.98
