MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;0;66.3;0;358.77;1.05;9.14;16.86
X;Position;-30;0;66.3;0;358.77;1.05;9.14;17.17
X;Position;-10;0;66.3;0;358.77;1.05;9.14;17.37
X;Position;10;0;66.3;0;358.77;1.05;9.14;18.68
X;Position;30;0;66.3;0;358.77;1.05;9.14;18.87
X;Position;50;0;66.3;0;358.77;1.05;9.14;19.2
Y;Position;-30;0;66.3;0;358.77;1.05;9.14;19.68
Y;Position;-20;0;66.3;0;358.77;1.05;9.14;19.85
Y;Position;-10;0;66.3;0;358.77;1.05;9.14;20.19
Y;Position;10;0;66.3;0;358.77;1.05;9.14;20.49
Y;Position;20;0;66.3;0;358.77;1.05;9.14;20.83
Y;Position;30;0;66.3;0;358.77;1.05;9.14;21.2
Z;Position;10;0;66.3;0;358.77;1.05;9.14;21.94
Z;Position;30;0;66.3;0;358.77;1.05;9.14;22.17
Z;Position;50;0;66.3;0;358.76;1.03;10.27;22.94
X;Rotation;-90;0;66.3;0;359.36;110.8;302.33;35.18
X;Rotation;0;0;66.3;0;357.91;6.64;15.98;39.15
X;Rotation;90;0;66.3;0;40.65;306.7;15.81;41.38
Y;Rotation;-30;0;66.3;0;3.96;2.61;38.78;48.91
Y;Rotation;0;0;66.3;0;7.77;2.27;16.25;51.01
Y;Rotation;30;0;66.3;0;6.77;358.22;349.51;53.51
Z;Rotation;-80;0;66.3;0;325.25;334.73;359.41;58.1
Z;Rotation;0;0;66.3;0;359.14;5.65;17.19;61.08
Z;Rotation;80;0;66.3;0;45.89;51.02;72.96;64.75
