MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-0 50;0;0;0;0;0;180;1.5
X;Position;-0 25;0;0;0;0;0;180;1.95
X;Position;-0 10;0;0;0;0;0;180;2.22
X;Position;-0 05;0;0;0;0;0;180;2.51
X;Position;0 00;0;0;0;0;0;180;2.91
X;Position;0 05;0;0;0;0;0;180;3.14
X;Position;0 10;0;0;0;0;0;180;3.44
X;Position;0 25;0;0;0;0;0;180;3.64
X;Position;0 50;0;0;0;0;0;180;4.14
Y;Position;-0 30;0;0;0;0;0;180;4.67
Y;Position;-0 15;0;0;0;0;0;180;4.96
Y;Position;-0 05;0;0;0;0;0;180;5.23
Y;Position;0 00;0;0;0;0;0;180;5.49
Y;Position;0 05;0;0;0;0;0;180;6.12
Y;Position;0 15;0;0;0;0;0;180;6.42
Y;Position;0 30;0;0;0;0;0;180;6.75
Z;Position;-0 10;0;0;0;0;0;180;15.28
Z;Position;-0 05;0;0;0;0;0;180;15.86
Z;Position;0 00;0;0;0;0;0;180;21.51
Z;Position;0 05;0;0;0;0;0;180;22
Z;Position;0 10;0;0;0;0;0;180;22.4
X;Rotation;-0 80;0;0;0;0;0;180;22.84
X;Rotation;0 00;0;0;0;0;0;180;23.24
X;Rotation;0 80;0;0;0;0;0;180;23.64
Z;Rotation;-0 15;0;0;0;0;0;180;24.23
Z;Rotation;0 00;0;0;0;0;0;180;24.6
Z;Rotation;0 15;0;0;0;0;0;180;24.93
Z;Rotation;-0 15;0;0;0;0;0;180;25.32
Z;Rotation;0 00;0;0;0;0;0;180;25.91
Z;Rotation;0 15;0;0;0;0;0;180;26.92
