MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;-5.2;68.94;49.77;0;90;0;38.69
X;Position;-30;-5.2;68.94;49.77;0;90;0;54.41
X;Position;-10;-5.2;68.94;49.77;0;90;0;54.8
X;Position;10;-5.2;68.94;49.77;0;90;0;55.27
X;Position;30;-5.2;68.94;49.77;0;90;0;57.48
X;Position;50;-5.2;68.94;49.77;0;90;0;72.86
Y;Position;-30;-5.2;68.94;49.77;0;90;0;73.07
Y;Position;-20;-5.2;20.5;49.77;0;90;0;98.61
Y;Position;-10;-5.2;20.5;49.77;0;90;0;98.9
Y;Position;10;-5.2;20.5;49.77;0;90;0;99.12
Y;Position;20;-5.2;20.5;49.77;0;90;0;99.31
Y;Position;30;-5.2;20.5;49.77;0;90;0;100.1
Z;Position;10;-5.2;20.5;49.77;0;90;0;100.66
Z;Position;30;-5.2;20.5;-19;0;90;0;152.21
Z;Position;50;-5.2;20.5;-19;0;90;0;152.43
X;Rotation;-90;-5.2;20.5;-19;0;90;0;168.41
X;Rotation;0;-5.2;20.5;-19;0;90;0;168.68
X;Rotation;90;-5.2;20.5;-19;0;90;0;169.61
Y;Rotation;-30;-5.2;20.5;-19;0;90;0;170.21
Y;Rotation;0;-5.2;20.5;-19;0;90;0;170.62
Y;Rotation;30;-5.2;20.5;-19;0;90;0;181.69
Z;Rotation;-80;-5.2;20.5;-19;0;90;0;182.52
Z;Rotation;0;-5.2;20.5;-19;0;90;0;183.31
Z;Rotation;80;-5.2;20.5;-19;0;90;0;198.06
