SceneName;GyroQuaternion_W;GyroQuaternion_X;GyroQuaternion_Y;GyroQuaternion_Z;Flex Thumb;Flex Index;Flex Middle;HandPoz_X;HandPoz_Y;HandPoz_Z;HandRot_X;HandRot_Y;HandRot_Z;ThumbRot_Z;IndexRot_X;MiddleRot_X;Hand Condition;Time;Timestamp
SceneName;0>*......>......1.00;0.00;-0.00;0.00;609;659;671;-0.7058;1.402421;-0.03080001;0;0;0;350;59.99999;59.99999;Normal;0;0
SceneName;1.00;0.00;-0.00;0.00;608;658;672;-0.7058;1.402421;-0.03080001;0;0;0;0;0;0;Normal;0.02;0.02
SceneName;1.00;0.00;-0.00;0.00;608;658;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.2;Normal;0.3333333;0.3533334
SceneName;1.00;0.00;0.00;0.00;608;658;671;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.2;Normal;0.199245;0.5525783
SceneName;1.00;0.00;0.00;0.00;608;658;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.60001;Normal;0.1194991;0.6720774
SceneName;1.00;0.00;0.00;-0.00;608;658;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.2;Normal;0.006036997;0.6781144
SceneName;1.00;0.00;0.00;-0.00;608;658;671;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.2;Normal;0.02537864;0.7034931
SceneName;1.00;0.00;0.00;-0.00;608;658;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.60001;Normal;0.02428591;0.727779
SceneName;1.00;0.00;0.00;-0.00;609;659;671;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.2;Normal;0.01506937;0.7428483
SceneName;1.00;0.00;0.00;-0.00;609;658;672;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.39999;11.60001;Normal;0.005062997;0.7479113
SceneName;1.00;0.00;0.00;-0.00;608;658;671;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.80001;11.2;Normal;0.005004406;0.7529157
SceneName;1.00;0.00;0.00;-0.00;609;658;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.60001;Normal;0.005713999;0.7586297
SceneName;1.00;0.00;0.00;-0.00;609;658;671;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.80001;11.2;Normal;0.004544914;0.7631747
SceneName;1.00;0.00;0.00;-0.00;608;658;671;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.80001;11.60001;Normal;0.005153418;0.7683281
SceneName;1.00;0.00;0.00;-0.00;608;659;671;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.60001;Normal;0.004708767;0.7730368
SceneName;1.00;0.00;0.00;-0.00;608;659;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.39999;11.60001;Normal;0.004716933;0.7777538
SceneName;1.00;0.00;0.00;-0.00;609;658;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.39999;11.2;Normal;0.005203784;0.7829576
SceneName;1.00;0.00;0.00;-0.00;609;659;672;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.80001;11.2;Normal;0.005016208;0.7879738
SceneName;1.00;0.00;0.00;-0.00;609;658;672;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.39999;11.2;Normal;0.004542768;0.7925165
SceneName;1.00;0.00;0.00;-0.00;608;659;671;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.80001;11.2;Normal;0.005031228;0.7975478
SceneName;1.00;0.00;0.00;-0.00;609;658;671;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.39999;11.60001;Normal;0.004558384;0.8021061
SceneName;1.00;0.00;0.00;-0.00;609;658;672;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.80001;11.60001;Normal;0.005233109;0.8073393
SceneName;1.00;0.00;0.00;-0.00;608;659;672;-0.7058;1.402421;-0.03080001;0;0;0;349.16;16.80001;11.2;Normal;0.004802883;0.8121421
SceneName;1.00;0.00;-0.00;-0.00;608;658;671;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.39999;11.2;Normal;0.004474699;0.8166168
SceneName;1.00;0.00;-0.00;-0.00;608;659;671;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.80001;11.60001;Normal;0.004636228;0.8212531
SceneName;1.00;0.00;-0.00;-0.00;608;659;672;-0.7058;1.402421;-0.03080001;0;0;0;348.92;16.39999;11.60001;Normal;0.004794478;0.8260475
