SceneName;GyroQuaternion_W;GyroQuaternion_X;GyroQuaternion_Y;GyroQuaternion_Z;Flex Thumb;Flex Index;Flex Middle;HandPoz_X;HandPoz_Y;HandPoz_Z;HandRot_X;HandRot_Y;HandRot_Z;ThumbRot_Z;IndexRot_X;MiddleRot_X;Hand Condition;Time;Timestamp
SceneName;;5?>*......>......1.00;0.00;0.00;0.00;631;626;-0.7058;1.402421;-0.03080001;0;0;0;350;59.99999;59.99999;Normal;0;0
SceneName;1.00;0.00;0.00;0.00;632;625;651;-0.7058;1.402421;-0.03080001;0;0;0;0;0;0;Normal;0.02;0.02
SceneName;1.00;0.00;0.00;0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.68;30;19.6;Normal;0.3333333;0.3533334
SceneName;1.00;0.00;0.00;0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.1722118;0.5255451
SceneName;1.00;0.00;0.00;0.00;632;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.03200489;0.55755
SceneName;1.00;0.00;0.00;0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.68;30;19.6;Normal;0.004670501;0.5622205
SceneName;1.00;0.00;0.00;0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.02472734;0.5869479
SceneName;1.00;0.00;0.00;0.00;631;625;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.02430111;0.611249
SceneName;1.00;0.00;0.00;0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;20.00001;Normal;0.02168494;0.6329339
SceneName;1.00;0.00;0.00;-0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.02480245;0.6577364
SceneName;1.00;0.00;0.00;-0.00;630;624;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.0193525;0.6770889
SceneName;1.00;0.00;0.00;-0.00;631;625;652;-0.7058;1.402421;-0.03080001;0;0;0;354.2;30.4;19.6;Normal;0.02081877;0.6979076
SceneName;1.00;0.00;0.00;-0.00;631;626;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.2;Normal;0.02186781;0.7197754
SceneName;1.00;0.00;0.00;-0.00;631;625;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;29.60001;19.6;Normal;0.005429685;0.7252051
SceneName;1.00;0.00;0.00;-0.00;631;625;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;20.00001;Normal;0.004608393;0.7298135
SceneName;1.00;0.00;0.00;0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;20.00001;Normal;0.00565064;0.7354642
SceneName;1.00;0.00;0.00;0.00;631;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.004693091;0.7401572
SceneName;1.00;0.00;0.00;0.00;632;626;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;19.6;Normal;0.004697502;0.7448547
SceneName;1.00;0.00;0.00;0.00;630;626;651;-0.7058;1.402421;-0.03080001;0;0;0;354.68;29.60001;20.00001;Normal;0.004548311;0.7494031
SceneName;1.00;0.00;0.00;0.00;632;625;651;-0.7058;1.402421;-0.03080001;0;0;0;354.2;29.60001;19.6;Normal;0.004257977;0.753661
SceneName;1.00;0.00;-0.00;0.00;631;626;651;-0.7058;1.402421;-0.03080001;0;0;0;354.68;30;19.6;Normal;0.004460514;0.7581216
SceneName;1.00;0.00;-0.00;0.00;631;625;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;29.60001;19.6;Normal;0.004049122;0.7621707
SceneName;1.00;0.00;0.00;0.00;632;625;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;20.00001;Normal;0.004786372;0.766957
SceneName;1.00;0.00;0.00;0.00;631;626;651;-0.7058;1.402421;-0.03080001;0;0;0;354.68;30;20.00001;Normal;0.004108369;0.7710654
SceneName;1.00;0.00;0.00;0.00;632;626;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;29.60001;19.6;Normal;0.004113913;0.7751793
SceneName;1.00;0.00;0.00;0.00;631;625;650;-0.7058;1.402421;-0.03080001;0;0;0;354.68;29.60001;20.00001;Normal;0.004333019;0.7795123
SceneName;1.00;0.00;0.00;0.00;631;625;650;-0.7058;1.402421;-0.03080001;0;0;0;354.44;30;20.00001;Normal;0.004229426;0.7837418
