SceneName;GyroQuaternion_W;GyroQuaternion_X;GyroQuaternion_Y;GyroQuaternion_Z;Flex Thumb;Flex Index;Flex Middle;HandPoz_X;HandPoz_Y;HandPoz_Z;HandRot_X;HandRot_Y;HandRot_Z;ThumbRot_Z;IndexRot_X;MiddleRot_X;Hand Condition;Time;Timestamp
SceneName;8?>*.*.**....>.*.*....1.00;0.00;-0.00;-0.00;661;599;593;-0.7058;2.302422;0.01919999;70;0;0;350;59.99999;59.99999;Normal;0;0
SceneName;1.00;0.00;-0.00;-0.00;666;600;592;-0.7058;2.302422;0.01919999;70.00003;340;340;0;0;0;Normal;0.02;0.02
SceneName;1.00;0.00;-0.00;-0.00;636;599;592;-0.7058;2.302422;0.01919999;70.00003;340;340;358.4546;64.99999;69.42106;Normal;0.3333333;0.3533334
SceneName;1.00;-0.00;-0.00;0.00;636;600;593;-0.7058;2.302422;0.01919999;70.00003;340;340;350.2727;65.61765;69.42106;Normal;0.07640359;0.4297369
SceneName;1.00;-0.00;-0.00;0.00;635;599;593;-0.7058;2.302422;0.01919999;70.00003;340;340;350.2727;64.99999;68.86842;Normal;0.01728809;0.447025
SceneName;1.00;-0.00;-0.00;0.00;636;599;593;-0.7058;2.302422;0.01919999;70.00003;340;340;350;65.61765;68.86842;Normal;0.02582181;0.4728468
SceneName;1.00;-0.00;-0.00;0.00;684;599;593;-0.7058;2.302422;0.01919999;70.00003;340;340;350.2727;65.61765;68.86842;Normal;0.01906329;0.4919101
SceneName;1.00;-0.00;-0.00;0.00;642;600;592;-0.7058;2.302422;0.01919999;70.00003;340;340;3.363636;65.61765;68.86842;Normal;0.006550401;0.4984605
SceneName;1.00;-0.00;-0.00;0.00;657;600;593;-0.7058;2.302422;0.01919999;70.00003;340;340;351.9091;64.99999;69.42106;Normal;0.006362915;0.5048234
SceneName;1.00;-0.01;-0.00;0.00;633;599;593;-0.7058;2.302422;0.01919999;70.00003;340;340;356;64.99999;68.86842;Normal;0.007150769;0.5119742
SceneName;1.00;-0.01;-0.00;0.00;661;599;593;-0.7058;2.302422;0.01919999;68.85414;340;340;349.4546;65.61765;68.86842;Normal;0.007204831;0.519179
SceneName;1.00;-0.01;-0.00;0.00;663;600;593;-0.7058;2.302422;0.01919999;68.85414;340;340;357.0909;65.61765;68.86842;Normal;0.006081402;0.5252604
SceneName;1.00;-0.01;-0.00;0.00;683;599;593;-0.7058;2.302422;0.01919999;68.85414;340;340;357.6364;64.99999;68.86842;Normal;0.007050991;0.5323114
SceneName;1.00;-0.01;-0.00;0.00;675;600;594;-0.7058;2.302422;0.01919999;68.85414;340;340;3.090909;65.61765;68.86842;Normal;0.006170809;0.5384822
SceneName;1.00;-0.01;-0.00;0.00;682;600;594;-0.7058;2.302422;0.01919999;68.85414;340;340;0.9090911;64.99999;68.31579;Normal;0.00627327;0.5447555
SceneName;1.00;-0.01;-0.00;0.00;637;600;594;-0.7058;2.302422;0.01919999;68.85414;340;340;2.818182;64.99999;68.31579;Normal;0.006436944;0.5511925
SceneName;1.00;-0.01;-0.00;0.00;638;599;594;-0.7058;2.302422;0.01919999;68.85414;340;340;350.5454;64.99999;68.31579;Normal;0.00592196;0.5571144
SceneName;1.00;-0.01;-0.00;0.00;640;599;594;-0.7058;2.302422;0.01919999;68.85414;340;340;350.8182;65.61765;68.31579;Normal;0.006108046;0.5632225
SceneName;1.00;-0.01;-0.01;0.00;641;599;594;-0.7058;2.302422;0.01919999;68.85414;340;340;351.3636;65.61765;68.31579;Normal;0.00651145;0.5697339
SceneName;1.00;-0.01;-0.01;0.00;633;599;594;-0.7058;2.302422;0.01919999;68.85426;338.854;340.0115;351.6364;65.61765;68.31579;Normal;0.00612545;0.5758594
SceneName;1.00;-0.01;-0.01;0.00;670;600;594;-0.7058;2.302422;0.01919999;68.85426;338.854;340.0115;349.4546;65.61765;68.31579;Normal;0.006038368;0.5818977
SceneName;1.00;-0.02;-0.01;-0.00;636;599;595;-0.7058;2.302422;0.01919999;68.85426;338.854;340.0115;359.5454;64.99999;68.31579;Normal;0.006522596;0.5884203
