SceneName;GyroQuaternion_W;GyroQuaternion_X;GyroQuaternion_Y;GyroQuaternion_Z;Flex Thumb;Flex Index;Flex Middle;HandPoz_X;HandPoz_Y;HandPoz_Z;HandRot_X;HandRot_Y;HandRot_Z;ThumbRot_Z;IndexRot_X;MiddleRot_X;Hand Condition;Time;Timestamp
SceneName;2?>*......>.....*******.1.00;0.00;0.00;0.00;658;731;736;-0.7058;1.402421;-0.03080001;0;0;0;350;59.99999;59.99999;Normal;0;0
SceneName;1.00;0.01;0.00;0.00;657;728;735;-0.7058;1.402421;-0.03080001;0;0;0;0;0;0;Normal;0.02;0.02
SceneName;1.00;0.01;0.00;0.00;657;728;735;-0.7058;1.402421;-0.03080001;0;0;0;0.68;348.8;346;Normal;0.3333333;0.3533334
SceneName;1.00;0.01;-0.00;0.01;656;729;734;-0.7058;1.402421;-0.03080001;0;0;0;0.68;348.8;346;Normal;0.2397436;0.5930769
SceneName;1.00;0.01;-0.00;0.01;656;728;734;-0.7058;1.402421;-0.03080001;0;0;0;0.44;348.4;346.4;Normal;0.03345537;0.6265323
SceneName;1.00;0.01;-0.00;0.01;657;727;734;-0.7058;1.402421;-0.03080001;0;0;0;0.44;348.8;346.4;Normal;0.00745362;0.6339859
SceneName;1.00;0.01;-0.00;0.01;656;726;733;-0.7058;1.402421;-0.03080001;0;0;0;0.68;349.2;346.4;Normal;0.006557882;0.6405438
SceneName;1.00;0.01;-0.01;0.01;655;726;733;-0.7058;1.402421;-0.03080001;0;0;0;0.44;349.6;346.8;Normal;0.005732;0.6462758
SceneName;1.00;0.01;-0.01;0.01;655;723;732;-0.7058;1.402421;-0.03080001;0;0;0;0.2;349.6;346.8;Normal;0.004972517;0.6512483
SceneName;1.00;0.02;-0.02;0.01;655;722;731;-0.7058;1.402421;-0.03080001;0;0;0;0.2;350.8;347.2;Normal;0.004614532;0.6558629
SceneName;1.00;0.02;-0.02;0.01;655;721;731;-0.7058;1.402421;-0.03080001;0;0;0;0.2;351.2;347.6;Normal;0.00718689;0.6630498
SceneName;1.00;0.02;-0.03;0.01;655;720;730;-0.7058;1.402421;-0.03080001;0;0;0;0.2;351.6;347.6;Normal;0.006541491;0.6695912
SceneName;1.00;0.03;-0.03;0.02;655;720;731;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352;348;Normal;0.005762577;0.6753538
SceneName;1.00;0.03;-0.04;0.02;654;719;730;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352;347.6;Normal;0.006851494;0.6822053
SceneName;1.00;0.03;-0.04;0.02;655;718;730;-0.7058;1.402421;-0.03080001;0;0;0;359.96;352.4;348;Normal;0.005802333;0.6880077
SceneName;1.00;0.04;-0.04;0.02;655;718;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352.8;348;Normal;0.005554616;0.6935623
SceneName;1.00;0.04;-0.05;0.02;655;718;730;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352.8;348.4;Normal;0.005009592;0.6985719
SceneName;1.00;0.04;-0.05;0.02;656;717;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352.8;348;Normal;0.004425108;0.702997
SceneName;1.00;0.05;-0.05;0.02;655;718;729;-0.7058;1.402421;-0.03080001;0;0;0;0.44;353.2;348.4;Normal;0.01095039;0.7139474
SceneName;1.00;0.05;-0.06;0.02;655;717;728;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352.8;348.4;Normal;0.006165981;0.7201133
SceneName;1.00;0.05;-0.06;0.02;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.8;Normal;0.005834997;0.7259483
SceneName;1.00;0.05;-0.06;0.03;655;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.005388319;0.7313367
SceneName;1.00;0.06;-0.07;0.03;655;717;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.4;Normal;0.004626393;0.735963
SceneName;0.99;0.06;-0.07;0.03;655;717;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.4;Normal;0.005584419;0.7415475
SceneName;0.99;0.06;-0.08;0.04;654;717;728;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.4;Normal;0.005337954;0.7468854
SceneName;0.99;0.06;-0.08;0.04;655;718;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.8;Normal;0.005683005;0.7525684
SceneName;0.99;0.07;-0.08;0.04;654;718;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352.8;348.4;Normal;0.006422222;0.7589906
SceneName;0.99;0.07;-0.09;0.04;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;352.8;348.4;Normal;0.00613308;0.7651237
SceneName;0.99;0.07;-0.09;0.04;654;716;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.005554914;0.7706786
SceneName;0.99;0.07;-0.10;0.05;654;718;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.6;348.4;Normal;0.006703496;0.7773821
SceneName;0.99;0.07;-0.10;0.05;654;718;728;-0.7058;1.402421;-0.03080001;0;0;0;359.96;352.8;348.4;Normal;0.004884779;0.7822669
SceneName;0.99;0.08;-0.10;0.05;653;718;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;352.8;348.8;Normal;0.005650401;0.7879173
SceneName;0.99;0.08;-0.11;0.05;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.72;352.8;348.4;Normal;0.004742622;0.7926599
SceneName;0.99;0.08;-0.11;0.05;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.004726827;0.7973868
SceneName;0.99;0.08;-0.12;0.06;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.0104537;0.8078405
SceneName;0.99;0.09;-0.12;0.06;654;718;728;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.006781697;0.8146222
SceneName;0.99;0.09;-0.12;0.06;653;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;352.8;348.8;Normal;0.005895078;0.8205172
SceneName;0.99;0.09;-0.13;0.06;655;717;728;-0.7058;1.402421;-0.03080001;0;0;0;359.72;353.2;348.4;Normal;0.005557001;0.8260742
SceneName;0.99;0.09;-0.13;0.06;654;718;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.8;Normal;0.005309701;0.8313839
SceneName;0.98;0.09;-0.13;0.06;655;718;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;352.8;348.4;Normal;0.005166888;0.8365508
SceneName;0.98;0.09;-0.14;0.07;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;352.8;348.4;Normal;0.005027533;0.8415784
SceneName;0.98;0.10;-0.14;0.07;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.006084263;0.8476626
SceneName;0.98;0.10;-0.14;0.07;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.007369518;0.8550321
SceneName;0.98;0.10;-0.15;0.07;655;717;729;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.00583899;0.8608711
SceneName;0.98;0.10;-0.15;0.08;654;717;729;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.4;Normal;0.006690502;0.8675616
SceneName;0.98;0.11;-0.16;0.08;654;717;728;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.4;Normal;0.007647634;0.8752093
SceneName;0.98;0.11;-0.16;0.08;654;716;728;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.2;348.8;Normal;0.006707966;0.8819172
SceneName;0.98;0.11;-0.17;0.08;655;717;728;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.6;348.8;Normal;0.004914522;0.8868318
SceneName;0.98;0.11;-0.17;0.08;655;717;728;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.8;Normal;0.005395055;0.8922268
SceneName;0.97;0.12;-0.17;0.08;655;717;728;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.8;Normal;0.006795645;0.8990225
SceneName;0.97;0.12;-0.18;0.08;655;716;728;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.2;348.8;Normal;0.006702065;0.9057245
SceneName;0.97;0.12;-0.19;0.09;654;716;727;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.6;348.8;Normal;0.00597614;0.9117007
SceneName;0.97;0.12;-0.19;0.09;655;716;727;-0.7058;1.402421;-0.03080001;0;0;0;359.96;353.6;349.2;Normal;0.005693078;0.9173937
SceneName;0.97;0.13;-0.20;0.09;654;715;726;-0.7058;1.402421;-0.03080001;0;0;0;0.2;353.6;349.2;Normal;0.004606605;0.9220003
SceneName;0.97;0.13;-0.21;0.09;654;714;725;-0.7058;1.402421;-0.03080001;0;0;0;359.96;354;349.6;Normal;0.005427122;0.9274275
SceneName;0.96;0.14;-0.21;0.09;654;713;724;-0.7058;1.402421;-0.03080001;0;0;0;359.96;354.4;350;Normal;0.004596353;0.9320238
SceneName;0.96;0.15;-0.23;0.09;654;711;723;-0.7058;1.402421;-0.03080001;0;0;0;359.96;354.8;350.4;Normal;0.004368722;0.9363925
SceneName;0.95;0.15;-0.24;0.10;653;711;722;-0.7058;1.402421;-0.03080001;0;0;0;359.96;355.6;350.8;Normal;0.006714702;0.9431072
SceneName;0.95;0.16;-0.25;0.10;653;709;721;-0.7058;1.402421;-0.03080001;0;0;0;359.72;355.6;351.2;Normal;0.00604552;0.9491528
SceneName;0.95;0.17;-0.26;0.10;653;706;721;-0.7058;1.402421;-0.03080001;0;0;0;359.72;356.4;351.6;Normal;0.006485701;0.9556385
SceneName;0.94;0.18;-0.27;0.10;653;705;719;-0.7058;1.402421;-0.03080001;0;0;0;359.72;357.6;351.6;Normal;0.005924046;0.9615625
SceneName;0.94;0.19;-0.27;0.10;652;703;719;-0.7058;1.402421;-0.03080001;0;0;0;359.72;358;352.4;Normal;0.005241454;0.966804
SceneName;0.93;0.20;-0.28;0.11;652;702;718;-0.7058;1.402421;-0.03080001;0;0;0;359.48;358.8;352.4;Normal;0.005112171;0.9719161
SceneName;0.93;0.20;-0.29;0.11;652;701;717;-0.7058;1.402421;-0.03080001;0;0;0;359.48;359.2;352.8;Normal;0.004784405;0.9767005
SceneName;0.93;0.20;-0.29;0.12;652;700;716;-0.7058;1.402421;-0.03080001;0;0;0;359.48;359.6;353.2;Normal;0.004693627;0.9813942
SceneName;0.92;0.21;-0.30;0.12;651;699;716;-0.7058;1.402421;-0.03080001;0;0;0;359.48;-5.008956E-06;353.6;Normal;0.005562186;0.9869564
SceneName;0.92;0.21;-0.30;0.12;651;698;715;-0.7058;1.402421;-0.03080001;0;0;0;359.24;0.3999982;353.6;Normal;0.006960988;0.9939173
SceneName;0.92;0.21;-0.30;0.13;650;699;715;-0.7058;1.402421;-0.03080001;0;0;0;359.24;0.8000014;354;Normal;0.006209731;1.000127
SceneName;0.92;0.22;-0.30;0.13;650;698;714;-0.7058;1.402421;-0.03080001;0;0;0;359;0.3999982;354;Normal;0.007504106;1.007631
SceneName;0.92;0.22;-0.31;0.14;650;699;715;-0.7058;1.402421;-0.03080001;0;0;0;359;0.8000014;354.4;Normal;0.004955173;1.012586
SceneName;0.91;0.22;-0.31;0.14;650;697;714;-0.7058;1.402421;-0.03080001;0;0;0;359;0.3999982;354;Normal;0.005781174;1.018368
SceneName;0.91;0.22;-0.31;0.14;650;696;713;-0.7058;1.402421;-0.03080001;0;0;0;359;1.200005;354.4;Normal;0.004797101;1.023165
SceneName;0.91;0.23;-0.32;0.15;650;696;714;-0.7058;1.402421;-0.03080001;0;0;0;359;1.600008;354.8;Normal;0.004593372;1.027758
SceneName;0.91;0.23;-0.32;0.15;650;695;714;-0.7058;1.402421;-0.03080001;0;0;0;359;1.600008;354.4;Normal;0.005182147;1.03294
SceneName;0.90;0.24;-0.33;0.15;650;694;712;-0.7058;1.402421;-0.03080001;0;0;0;359;1.999997;354.4;Normal;0.006366253;1.039306
SceneName;0.90;0.24;-0.33;0.15;650;693;712;-0.7058;1.402421;-0.03080001;0;0;0;359;2.400001;355.2;Normal;0.005458474;1.044765
SceneName;0.89;0.24;-0.34;0.16;650;693;712;-0.7058;1.402421;-0.03080001;0;0;0;359;2.800004;355.2;Normal;0.006647706;1.051413
SceneName;0.89;0.25;-0.35;0.16;650;693;711;-0.7058;1.402421;-0.03080001;0;0;0;359;2.800004;355.2;Normal;0.005539656;1.056952
SceneName;0.89;0.25;-0.35;0.16;650;691;710;-0.7058;1.402421;-0.03080001;0;0;0;359;2.800004;355.6;Normal;0.004831314;1.061784
SceneName;0.88;0.25;-0.35;0.17;650;691;710;-0.7058;1.402421;-0.03080001;0;0;0;359;3.600011;356;Normal;0.00544107;1.067225
SceneName;0.88;0.26;-0.36;0.17;650;690;709;-0.7058;1.402421;-0.03080001;0;0;0;359;3.600011;356;Normal;0.004443169;1.071668
SceneName;0.88;0.26;-0.36;0.18;650;689;710;-0.7058;1.402421;-0.03080001;0;0;0;359;4;356.4;Normal;0.004314661;1.075982
SceneName;0.88;0.26;-0.36;0.18;650;688;709;-0.7058;1.402421;-0.03080001;0;0;0;359;4.39999;356;Normal;0.007864118;1.083847
SceneName;0.87;0.26;-0.37;0.18;650;687;707;-0.7058;1.402421;-0.03080001;0;0;0;359;4.800006;356.4;Normal;0.006619692;1.090466
SceneName;0.87;0.27;-0.37;0.19;651;687;707;-0.7058;1.402421;-0.03080001;0;0;0;359;5.199996;357.2;Normal;0.006602168;1.097068
SceneName;0.87;0.27;-0.37;0.19;650;685;707;-0.7058;1.402421;-0.03080001;0;0;0;359.24;5.199996;357.2;Normal;0.006470442;1.103539
SceneName;0.86;0.27;-0.38;0.20;651;684;705;-0.7058;1.402421;-0.03080001;0;0;0;359;6.000002;357.2;Normal;0.006108165;1.109647
SceneName;0.86;0.28;-0.38;0.21;651;682;704;-0.7058;1.402421;-0.03080001;0;0;0;359.24;6.399992;358;Normal;0.005384326;1.115031
SceneName;0.85;0.28;-0.38;0.21;651;679;703;-0.7058;1.402421;-0.03080001;0;0;0;359.24;7.199998;358.4;Normal;0.004522324;1.119554
SceneName;0.85;0.28;-0.39;0.22;652;677;701;-0.7058;1.402421;-0.03080001;0;0;0;359.24;8.399995;358.8;Normal;0.005514503;1.125068
SceneName;0.85;0.29;-0.39;0.23;651;675;699;-0.7058;1.402421;-0.03080001;0;0;0;359.48;9.200001;359.6;Normal;0.007240891;1.132309
SceneName;0.84;0.29;-0.39;0.24;651;673;698;-0.7058;1.402421;-0.03080001;0;0;0;359.24;10.00001;0.3999982;Normal;0.005705118;1.138014
SceneName;0.83;0.29;-0.40;0.25;652;671;696;-0.7058;1.402421;-0.03080001;0;0;0;359.24;10.8;0.8000014;Normal;0.006232142;1.144246
SceneName;0.83;0.30;-0.40;0.26;652;667;694;-0.7058;1.402421;-0.03080001;0;0;0;359.48;11.60001;1.600008;Normal;0.006621361;1.150868
SceneName;0.82;0.30;-0.40;0.27;651;665;692;-0.7058;1.402421;-0.03080001;0;0;0;359.48;13.20001;2.400001;Normal;0.005164981;1.156033
SceneName;0.81;0.30;-0.41;0.28;651;661;689;-0.7058;1.402421;-0.03080001;0;0;0;359.24;14;3.199993;Normal;0.004873037;1.160906
SceneName;0.81;0.31;-0.41;0.29;650;657;686;-0.7058;1.402421;-0.03080001;0;0;0;359.24;15.60001;4.39999;Normal;0.00488174;1.165787
SceneName;0.80;0.31;-0.41;0.31;648;653;682;-0.7058;1.402421;-0.03080001;0;0;0;359;17.2;5.600012;Normal;0.005079627;1.170867
SceneName;0.79;0.32;-0.42;0.32;647;650;678;-0.7058;1.402421;-0.03080001;0;0;0;358.52;18.80001;7.199998;Normal;0.007007241;1.177874
SceneName;0.78;0.32;-0.42;0.34;648;647;673;-0.7058;1.402421;-0.03080001;0;0;0;358.28;20.00001;8.800011;Normal;0.005931973;1.183806
SceneName;0.77;0.32;-0.42;0.35;648;643;670;-0.7058;1.402421;-0.03080001;0;0;0;358.52;21.2;10.8;Normal;0.00602591;1.189832
SceneName;0.77;0.33;-0.42;0.36;647;640;666;-0.7058;1.402421;-0.03080001;0;0;0;358.52;22.8;12;Normal;0.005653977;1.195486
SceneName;0.76;0.33;-0.42;0.37;648;637;662;-0.7058;1.402421;-0.03080001;0;0;0;358.28;24;13.60001;Normal;0.00474143;1.200228
SceneName;0.75;0.33;-0.42;0.39;647;633;658;-0.7058;1.402421;-0.03080001;0;0;0;358.52;25.19999;15.19999;Normal;0.00716567;1.207393
SceneName;0.74;0.33;-0.42;0.40;647;630;655;-0.7058;1.402421;-0.03080001;0;0;0;358.28;26.8;16.80001;Normal;0.004567027;1.21196
SceneName;0.73;0.34;-0.42;0.41;645;627;651;-0.7058;1.402421;-0.03080001;0;0;0;358.28;28;18;Normal;0.004861712;1.216822
SceneName;0.72;0.34;-0.42;0.43;642;625;648;-0.7058;1.402421;-0.03080001;0;0;0;357.8;29.2;19.6;Normal;0.006598592;1.223421
SceneName;0.71;0.35;-0.42;0.44;639;623;645;-0.7058;1.402421;-0.03080001;0;0;0;357.08;30;20.80001;Normal;0.005618811;1.229039
SceneName;0.71;0.35;-0.42;0.45;638;621;641;-0.7058;1.402421;-0.03080001;0;0;0;356.36;30.80001;22.00001;Normal;0.005117655;1.234157
SceneName;0.70;0.36;-0.41;0.46;636;618;638;-0.7058;1.402421;-0.03080001;0;0;0;356.12;31.60001;23.6;Normal;0.005792022;1.239949
SceneName;0.69;0.36;-0.41;0.47;636;614;635;-0.7058;1.402421;-0.03080001;0;0;0;355.64;32.8;24.8;Normal;0.004392624;1.244342
SceneName;0.69;0.36;-0.40;0.48;635;612;633;-0.7058;1.402421;-0.03080001;0;0;0;355.64;34.4;26;Normal;0.00526154;1.249603
SceneName;0.68;0.36;-0.39;0.50;636;612;631;-0.7058;1.402421;-0.03080001;0;0;0;355.4;35.20001;26.8;Normal;0.005369425;1.254973
SceneName;0.68;0.36;-0.39;0.50;636;612;630;-0.7058;1.402421;-0.03080001;0;0;0;355.64;35.20001;27.60001;Normal;0.004669189;1.259642
SceneName;0.68;0.36;-0.39;0.51;635;610;630;-0.7058;1.402421;-0.03080001;0;0;0;355.64;35.20001;28;Normal;0.004706383;1.264348
SceneName;0.67;0.36;-0.38;0.52;635;611;630;-0.7058;1.402421;-0.03080001;0;0;0;355.4;36;28;Normal;0.006798267;1.271147
SceneName;0.67;0.35;-0.38;0.53;633;610;629;-0.7058;1.402421;-0.03080001;0;0;0;355.4;35.60001;28;Normal;0.005849361;1.276996
SceneName;0.67;0.35;-0.38;0.53;632;609;629;-0.7058;1.402421;-0.03080001;0;0;0;354.92;36;28.39999;Normal;0.005443096;1.282439
SceneName;0.67;0.34;-0.38;0.54;631;610;628;-0.7058;1.402421;-0.03080001;0;0;0;354.68;36.4;28.39999;Normal;0.00611937;1.288558
SceneName;0.66;0.34;-0.38;0.54;630;610;628;-0.7058;1.402421;-0.03080001;0;0;0;354.44;36;28.80001;Normal;0.004832268;1.293391
SceneName;0.66;0.33;-0.38;0.55;629;610;627;-0.7058;1.402421;-0.03080001;0;0;0;354.2;36;28.80001;Normal;0.004925966;1.298317
SceneName;0.66;0.33;-0.38;0.56;627;609;627;-0.7058;1.402421;-0.03080001;0;0;0;353.96;36;29.2;Normal;0.004612803;1.302929
SceneName;0.66;0.32;-0.38;0.56;626;608;626;-0.7058;1.402421;-0.03080001;0;0;0;353.48;36.4;29.2;Normal;0.004732013;1.307661
SceneName;0.67;0.31;-0.37;0.57;624;607;626;-0.7058;1.402421;-0.03080001;0;0;0;353.24;36.8;29.60001;Normal;0.005205631;1.312867
SceneName;0.67;0.30;-0.37;0.57;624;607;626;-0.7058;1.402421;-0.03080001;0;0;0;352.76;37.19999;29.60001;Normal;0.007453442;1.32032
SceneName;0.67;0.29;-0.36;0.58;623;608;626;-0.7058;1.402421;-0.03080001;0;0;0;352.76;37.19999;29.60001;Normal;0.006999612;1.32732
SceneName;0.68;0.28;-0.36;0.58;624;607;627;-0.7058;1.402421;-0.03080001;0;0;0;352.52;36.8;29.60001;Normal;0.005847692;1.333168
SceneName;0.68;0.27;-0.35;0.58;623;609;627;-0.7058;1.402421;-0.03080001;0;0;0;352.76;37.19999;29.2;Normal;0.005616903;1.338785
SceneName;0.68;0.26;-0.35;0.58;624;608;628;-0.7058;1.402421;-0.03080001;0;0;0;352.52;36.4;29.2;Normal;0.004952788;1.343737
SceneName;0.69;0.26;-0.35;0.58;625;609;628;-0.7058;1.402421;-0.03080001;0;0;0;352.76;36.8;28.80001;Normal;0.005349517;1.349087
SceneName;0.69;0.25;-0.35;0.58;625;610;628;-0.7058;1.402421;-0.03080001;0;0;0;353;36.4;28.80001;Normal;0.006272554;1.35536
SceneName;0.69;0.25;-0.35;0.58;625;610;629;-0.7058;1.402421;-0.03080001;0;0;0;353;36;28.80001;Normal;0.009001851;1.364361
