Timestamp;Event;PosX;PosY;PosZ;RotX;RotY;RotZ;RotW
05/18/2024 20:44:20;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:24;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:24;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:35;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:35;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:35;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:35;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:35;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:35;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:36;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:36;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:36;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:36;Start;0;0.01;0.02;0;0;1;0
