Timestamp;Event;PosX;PosY;PosZ;RotX;RotY;RotZ;RotW
05/18/2024 20:44:51;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:51;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:51;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:52;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:52;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:52;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:52;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:52;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:53;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:53;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:53;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:53;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:53;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:44:53;Difference;0;0;0;0;0;0;1
05/18/2024 20:44:53;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:00;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:00;Difference;0;0;0;0;0;0;1
05/18/2024 20:45:00;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:00;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:00;Difference;0;0;0;0;0;0;1
05/18/2024 20:45:01;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:01;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:01;Difference;0;0;0;0;0;0;1
05/18/2024 20:45:01;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:01;End;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:01;Difference;0;0;0;0;0;0;1
05/18/2024 20:45:01;Start;0;0.01;0.02;0;0;1;0
05/18/2024 20:45:15;End;-0.09;0.01;0.02;0;0;1;0
05/18/2024 20:45:15;Difference;-0.09;0;0;0;0;0;1
05/18/2024 20:45:15;Start;-0.09;0.01;0.02;0;0;1;0
05/18/2024 20:45:15;End;-0.09;0.01;0.02;0;0;1;0
05/18/2024 20:45:15;Difference;0;0;0;0;0;0;1
05/18/2024 20:45:16;Start;-0.09;0.01;0.02;0;0;1;0
05/18/2024 20:45:16;End;-0.09;0.01;0.02;0;0;1;0
05/18/2024 20:45:16;Difference;0;0;0;0;0;0;1
05/18/2024 20:45:16;Start;-0.09;0.01;0.02;0;0;1;0
05/18/2024 20:45:16;End;-0.09;0.01;0.02;0;0;1;0
05/18/2024 20:45:16;Difference;0;0;0;0;0;0;1
05/18/2024 20:45:16;Start;-0.09;0.01;0.02;0;0;1;0
