Timestamp;Event;PosX;PosY;PosZ;RotX;RotY;RotZ;RotW
05/18/2024 21:38:12;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:14;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:14;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:16;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:18;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:18;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:20;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:21;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:21;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:23;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:24;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:24;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:25;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:26;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:26;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:28;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:29;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:29;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:30;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:31;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:31;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:31;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:31;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:31;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:32;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:32;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:32;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:32;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:32;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:32;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:32;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:32;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:33;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:33;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:33;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:33;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:33;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:33;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:34;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:34;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:34;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:34;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:35;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:35;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:35;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:36;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:36;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:36;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:37;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:37;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:37;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:38;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:38;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:39;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:39;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:39;Difference;0;0;0;0;0;0;1
05/18/2024 21:38:40;Start;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:40;End;0;0.01;0.02;0;0;1;0
05/18/2024 21:38:40;Difference;0;0;0;0;0;0;1
